station_id,x,y,epsg,location,province
ABDET,738519.9909288103,4286486.022239707,25830,Confrides,Alicante
AGOST,705848.030037886,4257796.05369339,25830,Agost,Alicante
AGRES,716666.9763006778,4293971.012755405,25830,Agres,Alicante
ALACANT,717396.974631832,4245551.963617865,25830,Alacant,Alicante
ALARCÓN,576651.9845343733,4379818.990843342,25830,Alarcón,Cuenca
ALBARRACÍN,632563.0227491691,4476618.988755859,25830,Albarracín,Teruel
ALCALÀ DE XIVERT,773253.4982138205,4466154.852543342,25830,Alcalá de Xivert,Castellón
ALCOI,719090.9585305214,4287375.948251552,25830,Alcoi,Alicante
ALFONDEGUILLA,732822.3909380655,4412776.85109021,25830,Alfondeguilla,Castellón
ALIAGUILLA,643421.0075847089,4400549.032847628,25830,Aliaguilla,Cuenca
ALMODÓVAR DEL PINAR,593933.970820115,4397788.017220642,25830,Almodóvar del Pinar,Cuenca
ALTO DEL PINO,722932.9754251337,4396714.019496137,25830,Serra,Valencia
ANDILLA,684562.5830568743,4409613.959325555,25830,Andilla,Valencia
ARGENTE,656497.0118416526,4506327.972229619,25830,Argente,Teruel
ATS BELMONTEJO,558723.9669668685,4405775.036358791,25830,Belmontejo,Cuenca
ATS EL PICAZO,577167.0157103096,4368201.992366001,25830,El Picazo,Cuenca
ATS LOS ANGUIJES,589733.0052924755,4298394.975981546,25830,Los Anguijes,Albacete
AYORA,664177.9590446581,4324147.038328532,25830,Ayora,Valencia
AYORA LA HUNDE,654444.0157461566,4327768.004960657,25830,Ayora,Valencia
AZUD DE ANTELLA,707978.0415649287,4328430.984458229,25830,Antella,Valencia
AZUD DE MANDEM,754682.0268002109,4279265.99362671,25830,Altea,Alicante
AZUD DE SANTA QUITERIA,748070.020537856,4426624.014249783,25830,Vila-Real,Castellón
AZUD FONT D'EN CARRÓS,742223.0284451315,4309753.964542853,25830,Villalonga,Valencia
AZUD REPARTIMENT,720281.5221418629,4373629.187383629,25830,Quart de Poblet,Valencia
AZUD SUECA,730008.4516222235,4342674.8382482305,25830,Riola,Valencia
BALSA DE BELCAIRE,738864.0071690695,4410570.948251838,25830,La Vall d'Uixó,Castellón
BENAFIGOS,737050.6187202847,4462878.17009473,25830,Benafigos,Castellón
BENASAL,743040.001970336,4471862.989000752,25830,Benasal,Castellón
BORRIOL,749664.9411460272,4438556.11835764,25830,Borriol,Castellón
CANALES ALTOS SERPIS,738586.0310099632,4307401.971868668,25830,Villalonga,Valencia
CAROIG,680454.2815020634,4328780.172428801,25830,Teresa de Cofrentes,Valencia
CASA DEL BARÓN,679118.9804529209,4338593.000781154,25830,Cortes de Pallás,Valencia
CASINOS,696108.0174022105,4396393.5705716,25830,Casinos,Valencia
CASTELFRÍO,676339.9960643009,4481998.95177144,25830,El Pobo,Teruel
CATÍ,755003.0233956289,4486884.008032731,25830,Catí,Castellón
CAUDETE DE LAS FUENTES,647691.040716601,4378734.949923736,25830,Caudete de las Fuentes,Valencia
CERRO DEL ÁGUILA,626315.0103801755,4346394.047566605,25830,Fuentealbilla,Albacete
CHELVA,672057.9895400417,4404881.045128798,25830,Chelva,Valencia
CHIVA,694828.0425035078,4369994.976984786,25830,Chiva,Valencia
CIUDAD ENCANTADA,585096.0047581196,4451309.009546355,25830,Valdecabras,Cuenca
CONTRERAS,629189.2785705389,4377400.454533211,25830,Villargordo del Cabriel,Valencia
